"","Home_Wins","Away_Wins","Ties"
"369",2455,9133,3412
"370",7570,3906,3524
"371",7059,4003,3938
"372",7736,4208,3056
"373",10030,1678,3292
"374",6450,4760,3790
"375",5911,5688,3401
"376",8938,2763,3299
"377",9640,1625,3735
"378",4534,7231,3235
"379",9338,2681,2981
"380",4825,6900,3275
"381",10959,1870,2171
"382",9881,1757,3362
"383",7797,3632,3571
"384",2115,9902,2983
"385",7475,4411,3114
"386",5539,4638,4823
"387",4660,6987,3353
"388",5450,5889,3661
"389",6480,5362,3158
"390",5371,6046,3583
"391",6983,4326,3691
"392",4869,6647,3484
"393",3253,7928,3819
"394",6556,4916,3528
"395",8029,3893,3078
"396",2339,9544,3117
"397",6429,5105,3466
"398",3906,7671,3423
"399",5748,5170,4082
"400",6154,5389,3457
"401",4643,5786,4571
"402",4818,6504,3678
"403",10348,1873,2779
"404",7637,3974,3389
"405",10018,1999,2983
"406",8786,3395,2819
"407",6189,4898,3913
"408",5661,5744,3595
"409",9752,1679,3569
"410",9143,2747,3110
"411",6745,4229,4026
"412",7476,4284,3240
"413",4528,7086,3386
"414",8552,3347,3101
"415",5085,6305,3610
"416",8491,3377,3132
"417",6301,5447,3252
"418",8593,3123,3284
"419",7732,4008,3260
"420",2330,9239,3431
"421",8446,2790,3764
"422",7145,4448,3407
"423",9555,2158,3287
"424",9283,2516,3201
"425",8036,3889,3075
"426",4962,6363,3675
"427",6975,4776,3249
"428",4659,6750,3591
"429",9650,2591,2759
"430",7560,4218,3222
"431",3015,8264,3721
"432",6734,4613,3653
"433",5166,5882,3952
"434",12586,798,1616
"435",6877,4693,3430
"436",8447,3285,3268
"437",6713,5008,3279
"438",6380,4691,3929
"439",6790,5064,3146
"440",7167,3390,4443
"441",7923,4055,3022
"442",11831,1158,2011
"443",6760,4875,3365
"444",5951,5733,3316
"445",5207,6237,3556
"446",4677,6934,3389
"447",4515,6600,3885
"448",8552,3047,3401
"449",9445,2144,3411
"450",5912,5380,3708
"451",8536,3032,3432
"452",2040,9916,3044
"453",7675,4073,3252
"454",6363,5169,3468
"455",9628,2373,2999
"456",3092,8675,3233
"457",3738,8225,3037
"458",7977,3936,3087
"459",6354,4852,3794
