"","Date","Home","Away","Final","Home_Score","Away_Score","Home_Chance","Away_Chance","Tie"
"79","2021-05-22","New England","NY Red Bulls","False",0,0,0.388,0.382,0.23
"80","2021-05-22","Houston","Vancouver","False",0,0,0.474,0.293,0.233
"81","2021-05-22","San Jose","Sporting KC","False",0,0,0.404,0.364,0.232
"82","2021-05-22","Los Angeles FC","Colorado","False",0,0,0.66,0.161,0.179
"83","2021-05-23","Seattle","Atlanta","False",0,0,0.506,0.285,0.209
"84","2021-05-23","D.C. United","Philadelphia","False",0,0,0.324,0.441,0.235
"85","2021-05-23","Nashville","Austin FC","False",0,0,0.484,0.245,0.271
"86","2021-05-29","Miami","D.C. United","False",0,0,0.354,0.364,0.282
"87","2021-05-29","Chicago","CF Montréal","False",0,0,0.494,0.304,0.202
"88","2021-05-29","NY Red Bulls","Orlando City","False",0,0,0.499,0.239,0.262
"89","2021-05-29","FC Cincinnati","New England","False",0,0,0.172,0.6,0.228
"90","2021-05-29","Columbus","Toronto FC","False",0,0,0.479,0.246,0.275
"91","2021-05-29","Atlanta","Nashville","False",0,0,0.451,0.232,0.317
"92","2021-05-29","Seattle","Austin FC","False",0,0,0.646,0.151,0.203
"93","2021-05-29","Los Angeles FC","NYCFC","False",0,0,0.543,0.229,0.228
"94","2021-05-29","LA Galaxy","San Jose","False",0,0,0.409,0.343,0.248
"95","2021-05-29","Sporting KC","Houston","False",0,0,0.515,0.285,0.2
"96","2021-05-29","Colorado","FC Dallas","False",0,0,0.461,0.266,0.273
"97","2021-05-29","Real Salt Lake","Minnesota","False",0,0,0.336,0.412,0.252
"98","2021-05-30","Philadelphia","Portland","False",0,0,0.422,0.304,0.274
"99","2021-06-18","Real Salt Lake","Vancouver","False",0,0,0.53,0.257,0.213
"100","2021-06-19","Columbus","Chicago","False",0,0,0.582,0.17,0.248
"101","2021-06-19","Toronto FC","Orlando City","False",0,0,0.61,0.164,0.226
"102","2021-06-19","FC Cincinnati","Colorado","False",0,0,0.17,0.623,0.207
"103","2021-06-20","NY Red Bulls","Nashville","False",0,0,0.455,0.226,0.319
"104","2021-06-19","D.C. United","Miami","False",0,0,0.503,0.225,0.272
"105","2021-06-19","FC Dallas","Minnesota","False",0,0,0.407,0.339,0.254
"106","2021-06-19","Austin FC","San Jose","False",0,0,0.47,0.305,0.225
"107","2021-06-19","Portland","Sporting KC","False",0,0,0.532,0.26,0.208
"108","2021-06-19","LA Galaxy","Seattle","False",0,0,0.327,0.43,0.243
"109","2021-06-19","Los Angeles FC","Houston","False",0,0,0.676,0.165,0.159
"110","2021-06-20","Atlanta","Philadelphia","False",0,0,0.419,0.348,0.233
"111","2021-06-20","NYCFC","New England","False",0,0,0.574,0.155,0.271
"112","2021-06-22","Orlando City","San Jose","False",0,0,0.535,0.231,0.234
"113","2021-06-23","New England","NY Red Bulls","False",0,0,0.365,0.417,0.218
"114","2021-06-23","Philadelphia","Columbus","False",0,0,0.458,0.282,0.26
"115","2021-06-24","NYCFC","Atlanta","False",0,0,0.509,0.295,0.196
"116","2021-06-23","Minnesota","Austin FC","False",0,0,0.573,0.186,0.241
"117","2021-06-23","Chicago","FC Cincinnati","False",0,0,0.698,0.121,0.181
"118","2021-06-23","CF Montréal","D.C. United","False",0,0,0.398,0.342,0.26
"119","2021-06-23","Houston","Portland","False",0,0,0.353,0.414,0.233
"120","2021-06-23","Sporting KC","Colorado","False",0,0,0.503,0.303,0.194
"121","2021-06-23","Nashville","Toronto FC","False",0,0,0.376,0.319,0.305
"122","2021-06-23","Seattle","Real Salt Lake","False",0,0,0.643,0.179,0.178
"123","2021-06-23","Vancouver","LA Galaxy","False",0,0,0.399,0.375,0.226
"124","2021-06-23","Los Angeles FC","FC Dallas","False",0,0,0.629,0.148,0.223
"125","2021-06-25","Miami","Orlando City","False",0,0,0.371,0.368,0.261
"126","2021-06-26","Sporting KC","Los Angeles FC","False",0,0,0.318,0.466,0.216
"127","2021-06-26","Toronto FC","FC Cincinnati","False",0,0,0.757,0.095,0.148
"128","2021-06-26","Real Salt Lake","Houston","False",0,0,0.443,0.322,0.235
"129","2021-06-26","Chicago","Philadelphia","False",0,0,0.369,0.397,0.234
"130","2021-06-26","Nashville","CF Montréal","False",0,0,0.487,0.293,0.22
"131","2021-06-26","Seattle","Vancouver","False",0,0,0.695,0.122,0.183
"132","2021-06-26","San Jose","LA Galaxy","False",0,0,0.45,0.312,0.238
"133","2021-06-26","Portland","Minnesota","False",0,0,0.55,0.236,0.214
"134","2021-06-27","Atlanta","NY Red Bulls","False",0,0,0.4,0.358,0.242
"135","2021-06-27","NYCFC","D.C. United","False",0,0,0.607,0.207,0.186
"136","2021-06-27","Austin FC","Columbus","False",0,0,0.324,0.425,0.251
"137","2021-06-27","FC Dallas","New England","False",0,0,0.424,0.279,0.297
"138","2021-07-03","Columbus","New England","False",0,0,0.565,0.171,0.264
"139","2021-07-03","D.C. United","Toronto FC","False",0,0,0.369,0.401,0.23
"140","2021-07-03","CF Montréal","Miami","False",0,0,0.468,0.241,0.291
"141","2021-07-03","Orlando City","NY Red Bulls","False",0,0,0.388,0.379,0.233
"142","2021-07-03","Chicago","Atlanta","False",0,0,0.403,0.369,0.228
"143","2021-07-03","Minnesota","San Jose","False",0,0,0.58,0.222,0.198
"144","2021-07-03","Houston","FC Cincinnati","False",0,0,0.651,0.143,0.206
"145","2021-07-03","Real Salt Lake","Los Angeles FC","False",0,0,0.236,0.564,0.2
"146","2021-07-03","Austin FC","Portland","False",0,0,0.298,0.427,0.275
"147","2021-07-04","FC Dallas","Vancouver","False",0,0,0.646,0.187,0.167
"148","2021-07-04","Colorado","Seattle","False",0,0,0.37,0.389,0.241
"149","2021-07-04","LA Galaxy","Sporting KC","False",0,0,0.395,0.383,0.222
"150","2021-07-05","Nashville","Philadelphia","False",0,0,0.36,0.411,0.229
"151","2021-07-07","New England","Toronto FC","False",0,0,0.467,0.294,0.239
"152","2021-07-07","CF Montréal","NYCFC","False",0,0,0.289,0.474,0.237
"153","2021-07-07","FC Cincinnati","Columbus","False",0,0,0.127,0.654,0.219
"154","2021-07-08","NY Red Bulls","Philadelphia","False",0,0,0.439,0.316,0.245
"155","2021-07-07","Chicago","Orlando City","False",0,0,0.465,0.299,0.236
"156","2021-07-07","Seattle","Houston","False",0,0,0.595,0.194,0.211
"157","2021-07-07","Colorado","Minnesota","False",0,0,0.418,0.336,0.246
"158","2021-07-07","Austin FC","Los Angeles FC","False",0,0,0.255,0.553,0.192
"159","2021-07-07","Vancouver","Real Salt Lake","False",0,0,0.432,0.369,0.199
"160","2021-07-07","LA Galaxy","FC Dallas","False",0,0,0.386,0.358,0.256
"161","2021-07-08","Nashville","Atlanta","False",0,0,0.364,0.411,0.225
"162","2021-07-17","Atlanta","New England","False",0,0,0.5,0.253,0.247
"163","2021-07-17","NY Red Bulls","Miami","False",0,0,0.552,0.17,0.278
"164","2021-07-17","Philadelphia","D.C. United","False",0,0,0.611,0.186,0.203
"165","2021-07-17","Columbus","NYCFC","False",0,0,0.527,0.233,0.24
"166","2021-07-17","CF Montréal","FC Cincinnati","False",0,0,0.58,0.168,0.252
"167","2021-07-17","Toronto FC","Orlando City","False",0,0,0.585,0.183,0.232
"168","2021-07-17","Sporting KC","Austin FC","False",0,0,0.532,0.235,0.233
"169","2021-07-17","Nashville","Chicago","False",0,0,0.457,0.274,0.269
"170","2021-07-17","Colorado","San Jose","False",0,0,0.554,0.251,0.195
"171","2021-07-17","Vancouver","LA Galaxy","False",0,0,0.368,0.384,0.248
"172","2021-07-17","Los Angeles FC","Real Salt Lake","False",0,0,0.677,0.137,0.186
"173","2021-07-17","Portland","FC Dallas","False",0,0,0.57,0.167,0.263
"174","2021-07-18","Minnesota","Seattle","False",0,0,0.44,0.299,0.261
"175","2021-07-21","Miami","New England","False",0,0,0.273,0.414,0.313
"176","2021-07-21","FC Cincinnati","Atlanta","False",0,0,0.151,0.619,0.23
"177","2021-07-21","Columbus","Nashville","False",0,0,0.657,0.103,0.24
"178","2021-07-21","Toronto FC","NY Red Bulls","False",0,0,0.378,0.38,0.242
"179","2021-07-22","NYCFC","CF Montréal","False",0,0,0.595,0.225,0.18
"180","2021-07-21","Chicago","D.C. United","False",0,0,0.453,0.291,0.256
